stimuli,category,condition,sound,corpes_norm_spain,outlier,element,mean,median,Sentence 1,Sentence 2,Sentence 3,Sentence 4
bacalao,food,plosive,b,7.55,FALSE,word,6.45605263157895,4.855,El bacalao est? marinado en lim?n,El bacalao se cocina al vapor,El bacalao con patatas es delicioso,El bacalao est? en oferta hoy
balde,objects,plosive,b,8.23,FALSE,word,7.26432432432432,6.89,El balde est? lleno de hielo,El balde tiene una tapa rota,El balde se desbord? con lluvia,El balde sirve para regar plantas
bizcocho,food,plosive,b,6.42,FALSE,word,6.45605263157895,4.855,El bizcocho se desmoron? en pedazos,El bizcocho estaba suave y esponjoso,El bizcocho lleva frutas y nueces,El bizcocho de lim?n me encanta
bocadillo,food,plosive,b,6.86,FALSE,word,6.45605263157895,4.855,El bocadillo de queso sabe bien,El bocadillo de tortilla est? delicioso,El bocadillo de at?n tiene mayonesa,El bocadillo de chorizo estaba picante
boina,objects,plosive,b,2.72,FALSE,word,7.26432432432432,6.89,La boina de lana es c?moda,La boina vasca es muy reconocida,La boina francesa es muy elegante,La boina negra le va bien
bol?gafo,objects,plosive,b,8.52,FALSE,word,7.26432432432432,6.89,El bol?gafo se qued? sin tinta,Este bol?gafo escribe muy suave,El bol?gafo negro est? agotado,El bol?gafo azul es mi preferido
bombilla,objects,plosive,b,4.77,FALSE,word,7.26432432432432,6.89,La bombilla est? parpadeando de nuevo,La bombilla LED consume menos energ?a,La bombilla se quem? por sobretensi?n,La bombilla ilumina toda la habitaci?n
bomb?n,food,plosive,b,4.48,FALSE,word,6.45605263157895,4.855,El bomb?n estaba lleno de crema,El bomb?n estaba envuelto en papel,Este bomb?n est? relleno de licor,El bomb?n es demasiado dulce
fabada,food,fricative,f,1.02,FALSE,word,6.45605263157895,4.855,La fabada es un plato asturiano,La fabada es un plato tradicional,La fabada es perfecta en invierno,La fabada lleva chorizo y morcilla
fajitas,food,fricative,f,0.16,FALSE,word,6.45605263157895,4.855,Las fajitas de res est?n listas,Las fajitas vegetarianas son muy ricas,Las fajitas al pastor son exquisitas,Las fajitas de camarones son saludables
farol,objects,fricative,f,2.23,FALSE,word,7.26432432432432,6.89,El farol ilumina la calle oscura,El farol de papel se rompi?,El farol del techo se tambaleaba,El farol de gas se apag?
ficha,objects,fricative,f,13.79,FALSE,word,7.26432432432432,6.89,La ficha de ajedrez se movi?,La ficha del domin? es doble,La ficha describe el producto,La ficha de respuesta est? perdida
fideos,food,fricative,f,7.61,FALSE,word,6.45605263157895,4.855,Los fideos son mi comida favorita,Los fideos con salsa son deliciosos,Los fideos instant?neos son muy pr?cticos,Los fideos de trigo son vers?tiles
filete,food,fricative,f,2.8,FALSE,word,6.45605263157895,4.855,El filete estaba jugoso y tierno,El filete es de ternera argentina,El filete estaba acompa?ado de papas,El filete est? marinado en vino
filtro,objects,fricative,f,7.88,FALSE,word,7.26432432432432,6.89,El filtro del cigarrillo est? quemado,El filtro de aceite est? sucio,El filtro de Instagram hace milagros,El filtro solar te protege mucho
fond?e,food,fricative,f,0.26,FALSE,word,6.45605263157895,4.855,El fond?e de queso est? delicioso,El fond?e de chocolate es irresistible,El fond?e de carne es popular,La fond?e de frutas es exquisita
funda,objects,fricative,f,7.64,FALSE,word,7.26432432432432,6.89,La funda del coj?n est? rota,La funda del libro est? rota,La funda del sof? es lavable,La funda del colch?n se desgast?
f?sil,objects,fricative,f,4.13,FALSE,word,7.26432432432432,6.89,El f?sil dispar? con gran estruendo,Es f?sil estaba oxidado y viejo,El f?sil del soldado era moderno,El f?sil del cazador estaba cargado
mango,food,nasal,m,5.55,FALSE,word,6.45605263157895,4.855,El mango maduro es m?s dulce,El mango es una fruta nutritiva,El mango tiene un aroma estupendo,El mango es una fruta cara
manguera,objects,nasal,m,2.26,FALSE,word,7.26432432432432,6.89,La manguera conecta con el grifo,La manguera se enrolla con dificultad,La manguera se cort? por accidente,La manguera necesita un conector nuevo
mantequilla,food,nasal,m,15.52,FALSE,word,6.45605263157895,4.855,La mantequilla da sabor al plato,La mantequilla de man? es deliciosa,La mantequilla de ajo es olorosa,La mantequilla es buena para cocinar
manzana,food,nasal,m,15.76,FALSE,word,6.45605263157895,4.855,La manzana cay? del ?rbol madura,La manzana verde est? muy ?cida,La manzana fresca es muy jugosa,La manzana caramelizada es muy sabrosa
martillo,objects,nasal,m,4.3,FALSE,word,7.26432432432432,6.89,El martillo est? sobre la mesa,El martillo me golpe? el dedo,El martillo neum?tico hace mucho ruido,El martillo hizo un sonido met?lico
m?scara,objects,nasal,m,10.09,FALSE,word,7.26432432432432,6.89,La m?scara del carnaval era colorida,La m?scara de gas es inc?moda,La m?scara de seda es elegante,La m?scara de Halloween es tenebrosa
mazap?n,food,nasal,m,0.66,FALSE,word,6.45605263157895,4.855,El mazap?n es t?pico en Navidad,El mazap?n es un dulce popular,El mazap?n casero te qued? delicioso,El mazap?n es suave y dulce
