"elementType";"token";"sem"
6;"Esa paletilla de cordero es popular";"9"
3;"El filtro de aceite está sucio";"4"
2;"xx xxxx xx xxxxxxx xxxx xxxxx";"0"
3;"El farol de gas se apagó";"4"
7;"Ese violín del concierto era extraordinario";"2"
3;"Las fajitas de maiz están listas";"3"
4;"Este muñeco de porcelana es frágil";"6"
2;"xx xxxx xx xxxxxxx xxxx xxxxx";"0"
6;"Ese pincel ancho cubre más área";"10"
6;"Ese pavo tenía una piel crujiente";"9"
4;"El martillo está sobre la mesa";"6"
7;"Este bacalao con patatas es delicioso";"1"
1;"Esta sandía tiene pepitas muy tiernas";"11"
2;"xx xxxx xx xxxxxxx xxxx xxxxx";"0"
1;"Este sobre va dirigido a ti";"12"
3;"Esa ficha de ajedrez se movió";"4"
4;"El mango es una fruta cara";"5"
5;"Esta nata líquida me gusta mucho";"7"
3;"Esa fondúe de frutas es exquisita";"3"
5;"Este neceser es para mis cosméticos";"8"
6;"Este pollo en salsa está exquisito";"9"
1;"El sable del general estaba oxidado";"12"
7;"Ese bizcocho lleva frutas y nueces";"1"
7;"Esa bombilla está parpadeando de nuevo";"2"
3;"Esta fabada de camarones está exquisita";"3"
6;"Este palillo chino es muy delgado";"10"
7;"Este bolígafo se quedó sin tinta";"2"
6;"El paraguas lo olvidé en casa";"10"
2;"xx xxxx xx xxxxxxxx xxxx xxxxxxx";"0"
2;"xx xxxx xx xxxxxxxx xxxx xxxxxxx";"0"
5;"Este nudo asegura fuertemente al barco";"8"
5;"Esta nuez moscada se trocea facilmente";"7"
7;"Esa boina negra le va bien";"2"
2;"xx xxxx xx xxxxxxxx xxxx xxxxxxx";"0"
5;"Esos naipes tienen un diseño particular";"8"
2;"xx xxxxx xx xx xx xxxxx";"0"
4;"Ese melón todavía está muy inmaduro";"5"
1;"Esta sopa de cebollas esta exquisita";"11"
6;"Esta pala se partió en dos";"10"
6;"La paella se sirve en cazuelas";"9"
5;"La nevera está vacía de nuevo";"8"
4;"Este monitor muestra imágenes muy borrosas";"6"
6;"Este pañuelo lleva un estampado elegante";"10"
4;"La máscara impedía ver sus ojos";"6"
3;"La funda del móvil se extravió";"4"
1;"Esa soga está hecha de cáñamo";"12"
2;"xx xxxx xx xxxxxxx xxxx xxxxx";"0"
2;"xx xxxxx xx xx xx xxxxx";"0"
1;"La sartén se cayó al suelo";"12"
3;"Este fúsil de asalto nos aterroriza";"4"
7;"Este bombón está relleno de licor";"1"
1;"Esta salchicha italiana tiene mucho sabor";"11"
5;"Los nachos con queso son irresistibles";"7"
7;"El vinagre balsámico es muy sabroso";"1"
5;"Esta nectarina es difícil de pelar";"7"
4;"Este mazapán casero te quedó delicioso";"5"
4;"Esa manzana caramelizada parece muy sabrosa";"5"
2;"xx xxxx xx xxxxxxxx xxxx xxxxxxx";"0"
7;"El balde está lleno de hielo";"2"
4;"Esta manguera necesita un conector nuevo";"6"
7;"Ese bocadillo se cayó al suelo";"1"
5;"Esta navaja de afeitar está desgastada";"8"
1;"Esas setas portobello son muy carnosas";"11"
3;"Este filete está marinado en vino";"3"
3;"Los fideos son mi comida favorita";"3"
4;"La mantequilla se utiliza para cocinar";"5"
1;"El salmón ahumado es mi favorito";"11"
6;"Las pasas añaden un sabor dulce";"9"
5;"La naranja tiene un perfume agradable";"7"
1;"El sello del frasco está roto";"12"
